Date,Type,Team,Goalkeeper,MIN,GA,SV,CS,PCH,TCH,DS,SS,ACIB,ACOB,OG
45763,Regular,Vancouver Rise FC,Morgan McAslan,90,0,1,1,0,29,0,0,3,5,0
45763,Regular,Calgary Wild FC,Stephanie Bukovec,90,1,3,0,0,68,0,1,7,4,0
45766,Regular,AFC Toronto,Sofia Manner,90,1,1,0,0,24,1,0,3,1,0
45766,Regular,Montreal Roses FC,Anna Karpenko,90,0,6,1,1,59,0,0,11,5,0
45773,Regular,Halifax Tides FC,Erin McLeod,90,4,2,0,1,39,0,0,4,10,0
45773,Regular,Calgary Wild FC,Stephanie Bukovec,90,1,2,0,0,52,0,0,7,2,0
45774,Regular,Ottawa Rapid FC,Mollie Eriksson,90,1,4,0,1,45,0,0,14,4,0
45774,Regular,AFC Toronto,Sofia Manner,90,2,5,0,1,21,1,0,7,6,0
45774,Regular,Vancouver Rise FC,Morgan McAslan,90,3,3,0,0,30,1,0,6,4,0
45774,Regular,Montreal Roses FC,Gabrielle Lambert,90,1,2,0,0,51,1,0,8,1,0
45778,Regular,AFC Toronto,Sofia Manner,90,1,7,0,0,40,0,0,7,7,0
45778,Regular,Calgary Wild FC,Stephanie Bukovec,90,2,1,0,0,32,1,0,4,5,0
45780,Regular,Montreal Roses FC,Anna Karpenko,90,1,0,0,1,59,0,0,1,3,0
45780,Regular,Ottawa Rapid FC,Mollie Eriksson,90,2,3,0,1,33,1,0,5,9,0
45782,Regular,Vancouver Rise FC,Morgan McAslan,90,0,1,1,0,39,0,0,3,3,0
45782,Regular,Halifax Tides FC,Erin McLeod,90,1,1,0,4,46,0,0,3,6,0
45787,Regular,Montreal Roses FC,Gabrielle Lambert,90,0,3,1,0,61,0,0,6,3,0
45787,Regular,Halifax Tides FC,Anika Tóth,90,0,2,1,0,58,0,0,10,6,0
45788,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,1,0,0,1,34,0,0,7,4,0
45788,Regular,Vancouver Rise FC,Morgan McAslan,90,1,5,0,1,53,0,0,12,7,0
45788,Regular,Calgary Wild FC,Stephanie Bukovec,90,0,4,1,0,44,1,0,13,3,0
45788,Regular,Ottawa Rapid FC,Mollie Eriksson,90,0,0,1,0,42,0,0,1,3,0
45792,Regular,Ottawa Rapid FC,Mollie Eriksson,90,0,3,1,1,44,2,0,4,4,0
45792,Regular,Vancouver Rise FC,Morgan McAslan,90,3,4,0,0,56,0,0,10,4,0
45794,Regular,Halifax Tides FC,Erin McLeod,90,1,2,0,1,46,1,0,7,3,0
45794,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,0,2,1,3,29,1,0,2,5,0
45795,Regular,Calgary Wild FC,Stephanie Bukovec,90,0,0,1,0,49,0,0,2,7,0
45795,Regular,Montreal Roses FC,Anna Karpenko,90,1,1,0,0,56,0,0,9,2,0
45798,Regular,Vancouver Rise FC,Morgan McAslan,90,1,1,0,0,34,0,0,7,3,0
45798,Regular,Halifax Tides FC,Anika Tóth,90,2,2,0,0,55,2,0,9,2,0
45799,Regular,Montreal Roses FC,Anna Karpenko,90,2,3,0,1,59,1,1,6,4,0
45799,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,0,5,1,0,31,0,0,2,6,0
45801,Regular,Vancouver Rise FC,Morgan McAslan,90,1,5,0,0,52,2,0,6,7,0
45801,Regular,Calgary Wild FC,Stephanie Bukovec,90,1,1,0,0,49,0,0,4,2,0
45802,Regular,Ottawa Rapid FC,Mollie Eriksson,90,1,1,0,1,50,0,0,5,0,0
45802,Regular,Montreal Roses FC,Gabrielle Lambert,90,1,3,0,0,56,0,0,6,5,0
45813,Regular,Calgary Wild FC,Stephanie Bukovec,90,2,1,0,0,69,0,0,10,4,0
45813,Regular,Halifax Tides FC,Erin McLeod,90,3,1,0,0,37,1,0,5,4,0
45815,Regular,AFC Toronto,Sierra Deolinda Cota-Yarde,90,4,3,0,0,27,0,0,12,3,0
45815,Regular,Ottawa Rapid FC,Melissa Dagenais,90,0,3,1,0,47,1,0,5,4,0
45815,Regular,Montreal Roses FC,Anna Karpenko,90,0,2,1,0,67,1,0,5,3,0
45815,Regular,Vancouver Rise FC,Morgan McAslan,90,2,2,0,1,52,0,0,6,4,0
45818,Regular,Halifax Tides FC,Erin McLeod,90,1,1,0,1,30,0,0,8,4,0
45818,Regular,Ottawa Rapid FC,Melissa Dagenais,90,2,5,0,4,38,1,0,12,7,0
45819,Regular,Vancouver Rise FC,Morgan McAslan,90,3,0,0,0,21,0,0,6,2,0
45819,Regular,AFC Toronto,Sofia Manner,90,2,2,0,3,38,1,0,11,2,0
45822,Regular,Ottawa Rapid FC,Mollie Eriksson,90,2,0,0,0,48,0,0,10,5,0
45822,Regular,Montreal Roses FC,Anna Karpenko,90,1,2,0,0,51,0,0,5,1,0
45822,Regular,Calgary Wild FC,Jackie Burns,90,2,5,0,0,43,2,2,13,4,0
45822,Regular,AFC Toronto,Sofia Manner,90,1,1,0,0,33,0,0,3,4,0
45829,Regular,Ottawa Rapid FC,Mollie Eriksson,90,1,3,0,4,46,2,0,5,2,0
45829,Regular,Calgary Wild FC,Jackie Burns,90,3,1,0,0,64,0,0,8,3,0
45829,Regular,AFC Toronto,Sofia Manner,90,1,2,0,2,27,0,0,4,1,0
45829,Regular,Halifax Tides FC,Erin McLeod,45,1,2,0,1,31,0,0,4,3,0
45829,Regular,Halifax Tides FC,Anika Tóth,45,2,6,0,0,19,0,0,4,3,0
45830,Regular,Vancouver Rise FC,Morgan McAslan,90,0,2,1,0,29,0,0,2,3,0
45830,Regular,Montreal Roses FC,Anna Karpenko,90,0,7,1,0,77,0,0,8,6,0
45845,Regular,Halifax Tides FC,Anika Tóth,90,0,1,1,0,39,1,0,4,1,0
45845,Regular,Calgary Wild FC,Stephanie Bukovec,90,1,1,0,0,49,0,0,6,2,0
45848,Regular,AFC Toronto,Sofia Manner,90,0,1,1,0,42,0,0,6,1,0
45848,Regular,Ottawa Rapid FC,Mollie Eriksson,90,3,2,0,0,40,0,1,9,1,0
45850,Regular,Montreal Roses FC,Anna Karpenko,90,1,4,0,1,68,0,1,4,7,0
45850,Regular,Halifax Tides FC,Anika Tóth,90,0,6,1,0,49,0,0,8,6,0
45850,Regular,Calgary Wild FC,Stephanie Bukovec,90,1,3,0,0,47,1,1,7,2,0
45850,Regular,Vancouver Rise FC,Morgan McAslan,90,2,4,0,0,31,0,0,3,7,0
45853,Regular,Halifax Tides FC,Anika Tóth,90,1,3,0,0,54,0,0,10,7,0
45853,Regular,AFC Toronto,Sofia Manner,90,0,4,1,1,36,0,0,4,7,0
45856,Regular,AFC Toronto,Sofia Manner,90,2,3,0,1,31,0,0,6,6,0
45856,Regular,Montreal Roses FC,Anna Karpenko,90,1,0,0,1,69,0,0,5,6,0
45857,Regular,Calgary Wild FC,Stephanie Bukovec,90,3,2,0,0,41,0,0,14,3,0
45857,Regular,Ottawa Rapid FC,Melissa Dagenais,90,0,2,1,0,32,1,0,8,1,0
45857,Regular,Halifax Tides FC,Anika Tóth,90,6,2,0,0,47,0,0,8,9,0
45857,Regular,Vancouver Rise FC,Morgan McAslan,90,0,6,1,3,46,1,0,11,5,0
45862,Regular,Vancouver Rise FC,Morgan McAslan,90,1,2,0,0,41,0,0,7,6,0
