Date,Type,Team,Player,MIN,G,A,TSA,OSA,TP,TCH,TCR,CT,TT,F,YC,RC,OG,GF,GA,In,Out,P
45763,Regular,Vancouver Rise,Jasmyne Spencer,90,0,0,0,0,38,75,3,0,1,1,1,0,0,1,0,0,90,D
45763,Regular,Vancouver Rise,Shannon Woeller,90,0,0,0,0,71,78,0,0,1,0,0,0,0,1,0,0,90,D
45763,Regular,Vancouver Rise,Jaylyn Wright,90,0,0,0,0,35,62,2,0,3,0,0,0,0,1,0,0,90,D
45763,Regular,Vancouver Rise,Nikki Stanton,90,0,0,1,1,48,63,2,3,3,0,0,0,0,1,0,0,90,M
45763,Regular,Vancouver Rise,Quinn,90,1,0,2,1,73,88,2,0,2,0,0,0,0,1,0,0,90,M
45763,Regular,Vancouver Rise,Holly Ward,90,0,0,3,1,24,56,2,0,2,0,0,0,0,1,0,0,90,F
45763,Regular,Vancouver Rise,Jessika Cowart,89,0,0,0,0,65,76,0,0,1,1,0,0,0,1,0,0,89,D
45763,Regular,Vancouver Rise,Mariah Lee,73,0,0,1,0,17,31,0,0,3,1,0,0,0,1,0,0,73,F
45763,Regular,Vancouver Rise,Josie Longhurst,64,0,0,0,0,14,24,0,0,1,1,0,0,0,1,0,0,64,M
45763,Regular,Vancouver Rise,Lisa Pechersky,64,0,0,1,1,14,24,0,0,2,0,0,0,0,1,0,0,64,F
45763,Regular,Vancouver Rise,Sofia Hagman,26,0,0,1,0,12,16,0,0,0,1,0,0,0,0,0,64,90,M
45763,Regular,Vancouver Rise,Sara Lilja Vidlund,26,0,0,2,0,7,19,0,0,1,2,0,0,0,0,0,64,90,M
45763,Regular,Vancouver Rise,Nedya Sawan,17,0,0,0,0,7,12,0,0,0,1,1,0,0,0,0,73,90,F
45763,Regular,Vancouver Rise,Kennedy Faulknor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,90,D
45763,Regular,Vancouver Rise,Kayla Gonçalves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45763,Regular,Vancouver Rise,Jessica De Filippo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45763,Regular,Vancouver Rise,Anaïs Oularbi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45763,Regular,Vancouver Rise,Kirstin Tynan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45763,Regular,Vancouver Rise,Jessica Wulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45763,Regular,Calgary Wild,Mijke Roelfsema,90,0,0,0,0,62,75,0,0,4,1,0,0,0,0,1,0,90,D
45763,Regular,Calgary Wild,Meikayla Moore,90,0,0,0,0,52,63,0,0,0,1,1,0,0,0,1,0,90,D
45763,Regular,Calgary Wild,Grace Stordy,90,0,0,0,0,31,67,2,0,2,2,0,0,0,0,1,0,90,D
45763,Regular,Calgary Wild,Jaclyn Sawicki,90,0,0,3,1,34,45,0,0,0,1,0,0,0,0,1,0,90,M
45763,Regular,Calgary Wild,Meggie Dougherty Howard,90,0,0,1,0,38,57,2,2,1,1,1,0,0,0,1,0,90,M
45763,Regular,Calgary Wild,Kahli Johnson,90,0,0,2,0,23,42,2,0,2,1,0,0,0,0,1,0,90,F
45763,Regular,Calgary Wild,Ally Green,71,0,0,1,0,28,44,1,0,1,2,0,0,0,0,1,0,71,D
45763,Regular,Calgary Wild,Sarah Griffith,62,0,0,0,0,10,25,2,2,0,0,0,0,0,0,1,0,62,F
45763,Regular,Calgary Wild,Sonia O'Neill,45,0,0,0,0,22,34,0,0,3,0,0,0,0,0,1,0,45,M
45763,Regular,Calgary Wild,Christie Gray,45,0,0,0,0,11,25,2,0,1,1,0,0,0,0,1,0,45,F
